timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763939659,-6.1000000000000005,-1.4000000000000001,10.5,-4.5,3.5,-359.2
1778763939676,-6.300000000000001,-1.2000000000000002,8.9,-1,5.2,-355.40000000000003
1778763939694,-6.300000000000001,-1.3,10.600000000000001,-4.1,1.8000000000000003,-353.70000000000005
1778763939709,-5.800000000000001,-1.4000000000000001,9.700000000000001,-3.1,4.1,-349
1778763939727,-6.1000000000000005,-1.1,11,-0.6000000000000001,6.1000000000000005,-344.00000000000006
1778763939743,-5.4,-1.1,10.8,-6.300000000000001,2,-341.8
1778763939759,-5.9,-0.9,8.3,-3.6000000000000005,2.1,-336.50000000000006
1778763939775,-5.4,-1.1,10.200000000000001,-2.1,4.300000000000001,-331.3
1778763939793,-5.300000000000001,-0.9,9.700000000000001,-5.6,0.4,-328.6
1778763939810,-5.300000000000001,-0.8,9.9,-4.7,4.1,-323.2
1778763939827,-5,-0.7000000000000001,10.5,-4.1,2.7,-320.6
1778763939844,-4.800000000000001,-0.6000000000000001,9.1,-2.5,4.1,-315.30000000000007
1778763939868,-4.5,-0.7000000000000001,9.9,-3.6000000000000005,2.4000000000000004,-306.6
1778763939877,-4.5,-0.9,10.100000000000001,-4.2,3.3000000000000007,-304
1778763939893,-4.7,-0.8,9.700000000000001,-2.7,2.9,-301.2
1778763939909,-4.4,-0.9,10.100000000000001,-3.3000000000000007,3.5,-295.4
1778763939926,-4.2,-0.6000000000000001,9.5,-3.5,2.7,-292.8
1778763939942,-3.9000000000000004,-0.8,9.4,-2.4000000000000004,0.8,-287.40000000000003
1778763939959,-3.8000000000000003,-0.8,10,-3.4,2.2,-282.4
1778763939976,-4,-0.6000000000000001,9.5,-4.2,-0.2,-279.8
1778763939992,-3.5,-0.6000000000000001,9.9,-3.2,1.6,-274.5
1778763940009,-3.4000000000000004,-0.6000000000000001,10.3,-2,0.7,-268.8
1778763940026,-3.6,-0.4,9.5,-2.4000000000000004,0.8,-266
1778763940042,-3.3000000000000003,-0.6000000000000001,10.9,-2.1,0.5,-260.29999999999995
1778763940059,-2.9000000000000004,-0.5,10.200000000000001,-2.6,2.4000000000000004,-255.2
1778763940075,-3.2,-0.4,10.600000000000001,-2.7,1.3,-252.40000000000003
1778763940092,-2.7,-0.6000000000000001,10.4,-3.6000000000000005,2.1,-246.9
1778763940109,-2.6,-0.30000000000000004,9.8,0.2,2.4000000000000004,-243.60000000000002
1778763940126,-2.9000000000000004,-0.4,10.4,-1,1.9,-238.1
1778763940142,-2.2,-0.2,10.700000000000001,-3.1,0.4,-232.5
1778763940159,-2.4000000000000004,-0.2,9.200000000000001,0.8,3.2,-229.70000000000002
